Zip-Code; Neighborhood; Street; Latitude; Longitude; FloodQuota
89026-300; Gloria; Largo Jose Henrique Pera
89026-305; Gloria; Praca Presidente Getulio Vargas
89025-157; Gloria; Rua Agnelo Ramos
89025-491; Gloria; Rua Alida Millbratz
89025-180; Gloria; Rua Antonino Vicente
89025-521; Gloria; Rua Braulina da Silva Massaneiro
89025-315; Gloria; Rua Edegar Haupt
89025-461; Gloria; Rua Eduardo Montagna
89025-215; Gloria; Rua Emilio Manzke Junior
89025-051; Gloria; Rua Eugenio Klock Filho
89025-455; Gloria; Rua Francisco Jesuino Martins
89025-585; Gloria; Rua Guilherme Caresia
89025-261; Gloria; Rua Joao Pedro Pereira
89025-493; Gloria; Rua Lauro Tillmann
89025-581; Gloria; Rua Maria Siqueira Inchotre
89025-275; Gloria; Rua Pedro Malfessoni
89025-240; Gloria; Rua Sao Miguel D'Oeste
89095-375; Itoupava; Largo Intendencia
89095-305; Itoupava; Praca Doutor Alfredo Hoess
89095-335; Itoupava; Praca Johanna Konrad
89095-365; Itoupava; Praca Klaus Feldmann
89095-330; Itoupava; Rua Arthur Ziehlsdorf
89095-450; Itoupava; Rua Erich Feldman
89095-070; Itoupava; Rua Erwin Eichstadt
89095-200; Itoupava; Rua Erwin Jurk
89095-210; Itoupava; Rua Gustavo Ruedger
89095-190; Itoupava; Rua Herman Deck Junior
89095-060; Itoupava; Rua Herman Eichstadt
89095-160; Itoupava; Rua Herman Fuchs
89095-130; Itoupava; Rua Herman Hadlich
89095-150; Itoupava; Rua Herman Hein
89095-540; Itoupava; Rua Herman Voigt
89095-165; Itoupava; Rua Ida Passold
89095-530; Itoupava; Rua Reinold Kruger
89095-342; Itoupava; Rua Wolfgang Blank
89068-241; Itoupava central; Loteamento Dona Herta
89062-286; Itoupava central; Rua Alida Stein
89066-271; Itoupava central; Rua Alvin Schwanke
89063-318; Itoupava central; Rua Alwin Adam
89069-236; Itoupava central; Rua Alzira Hackbarth
89069-105; Itoupava central; Rua Amabili Lucia Vizanteimer
89069-220; Itoupava central; Rua Arnoldo Volles
89063-188; Itoupava central; Rua Augusta Kazulke
89068-116; Itoupava central; Rua Bernardino Zabel
89069-145; Itoupava central; Rua Business Park
89062-281; Itoupava central; Rua Claucinei Schaefer
89069-165; Itoupava central; Rua Curt Georg
89062-273; Itoupava central; Rua Edmund Gebin
89069-362; Itoupava central; Rua Eldrita Krueger
89062-395; Itoupava central; Rua Elfrieda Fischer
89075-115; Itoupava central; Rua Emilio Kanesel
89069-345; Itoupava central; Rua Ernesto Georg
89068-290; Itoupava central; Rua Ervino Hadlich Junior
