2 de Setembro;14.2
2 de Setembro;14.2
Dr. Pedro Zimmermann;14.3
25 de Janeiro;14.3
Rodovia br 470;14.4
Prof. Max Humpl;14.45
2 de Setembro;14.45
Dr. Amadeu da Luz;14.55
Inominada 1546;14.55
Prof. Max Humpl;14.55
Rodovia br 470;14.6
Dr. Pedro Zimmermann;14.6
Pastor Oswaldo Hesse;14.65
2 de Setembro;14.65
Dr. Henrique Hacker;14.7
Prof. Max Humpl;14.7
Achyles Cavilha;14.75
Prof. Max Humpl;14.8
Prof. Hermann Lange;14.85
Benjamim Duarte da Silva;14.85
Dr. Pedro Zimmermann;14.9
Daniel Vitorio Schramm;14.95
10 de Janeiro;15.1
Dr. Pedro Zimmermann;15.1
Prof. Hermann Lange;15.15
20 de Setembro;15.15
2 de Setembro;15.15
Dr. Pedro Zimmermann;15.2
Dr. Pedro Zimmermann;15.2
Dr. Pedro Zimmermann;15.25
Alameda Adolfo Schmalz;15.3
Dr. Amadeu da Luz;15.35
2 de Setembro;15.35
Guilherme Scheeffer;15.4
Alameda Adolfo Schmalz;15.45
Victorino Paula Ramos;15.45
Alferes Von Seckendorff;15.5
Dr. Pedro Zimmermann;15.5
Dr. Pedro Zimmermann;15.55
Prof. Max Humpl;15.6
Prof. Max Humpl;15.6
Alameda Adolfo Schmalz;15.65
Alameda Adolfo Schmalz;15.65
Pastor Oswaldo Hesse;15.65
Dr. Pedro Zimmermann;15.65
Prof. Max Humpl;15.65
Prof. Max Humpl;15.7
Dr. Pedro Zimmermann;15.7
Dr. Pedro Zimmermann;15.7
7 de Setembro;15.7
2 de Setembro;15.75
Pastor Oswaldo Hesse;15.8
Pastor Oswaldo Hesse;15.8
Dr. Henrique Hacker;15.8
2 de Setembro;15.8
2 de Setembro;15.8
2 de Setembro;15.85
Paulo Grossenbacher;15.85
Dr. Pedro Zimmermann;15.9
2 de Setembro;15.95
Prof. Max Humpl;15.95
Prof. Max Humpl;15.95
21 de Abril;16.0
Victorino Paula Ramos;16.05
Alameda Adolfo Schmalz;16.05
Dr. Pedro Zimmermann;16.05
Dr. Pedro Zimmermann;16.05
Prof. Max Humpl;16.1
Prof. Max Humpl;16.1
Dr. Pedro Zimmermann;16.1
2 de Setembro;16.1
Dr. Pedro Zimmermann;16.2
Dr. Pedro Zimmermann;16.25
7 de Setembro;16.3
Dr. Pedro Zimmermann;16.3
Dr. Pedro Zimmermann;16.3
Prof. Max Humpl;16.35
Paulo Grossenbacher;16.35
2 de Setembro;16.35
12 de Outubro;16.4
Prof. Max Humpl;16.45
Prof. Max Humpl;16.5
Reitor Strothmann;16.55
2 de Setembro;16.55
Daniel Vitorio Schramm;16.55
2 de Setembro;16.6
Prof. Max Humpl;16.65
Rodolpho Fischer;16.65
2 de Setembro;16.65
2 de Setembro;16.65
7 de Setembro;16.75
Dr. Pedro Zimmermann;16.75
2 de Setembro;16.8
Rodovia br 470;16.85
2 de Setembro;16.95
Alameda Adolfo Schmalz;16.95
2 de Setembro;17.0
Prof. Max Humpl;17.0
2 de Setembro;17.05
Prof. Max Humpl;17.05
Rodovia br 470;17.05
Dr. Pedro Zimmermann;17.1
Paulo Grossenbacher;17.1
2 de Setembro;17.15
2 de Setembro;17.25
2 de Setembro;17.3
2 de Setembro;17.35
Dr. Pedro Zimmermann;17.4
15 de Agosto;17.45
Rodovia br 470;17.45
2 de Setembro;17.55
Dr. Pedro Zimmermann;17.6
2 de Setembro;17.65
Dr. Pedro Zimmermann;17.7
Dr. Pedro Zimmermann;17.8
2 de Setembro;17.95
2 de Setembro;18.05
Pastor Oswaldo Hesse;18.1
Via Expressa Via Expressa Paul Fritz Kuehnrich;18.1
2 de Setembro;18.2
Dr. Pedro Zimmermann;18.4
2 de Setembro;18.65
21 de Abril;18.8
2 de Setembro;19.0
